A	B	DA	DB	R
4.5	10	0	60	0
5	10	0	14	0
5	10	0	6	0
4	10	0	5	0
9.5	10	0	7	0
4.5	10	0	1	0
5.5	10	0	2	0
5	10	0	2	0
3	10	0	1	0
5	10	0	1	1
9.5	10	0	5	0
9.5	10	0	4	0
9.5	10	0	3	0
9.5	10	0	2	1
9.5	10	0	6	0
9.5	10	0	14	0
9.5	10	0	7	0
9	10	0	3	0
9.5	10	0	1	0
9	10	0	1	0
3	10	0	1	0
2.5	10	0	1	1
9	10	0	2	0
8.5	10	0	1	0
3.5	10	0	1	0
4	10	0	1	0
2	10	0	1	0
7.5	10	0	1	0
1.5	10	0	1	1
1	10	0	1	1
4.5	10	0	1	0
0.5	10	0	1	1
3	10	0	1	0
2.5	10	0	1	1
5	10	0	1	0
5.5	10	0	1	0
